"country";"gdp";"ls"
"Afghanistan";1803,98748708124;2,6617181
"Albania";11803,4305936025;4,6395483
"Algeria";13913,8393634819;5,2489123
"Argentina";18933,9071474396;6,03933
"Armenia";8787,57993972036;4,2877364
"Australia";44648,7099113362;7,2570376
"Austria";45436,6858219914;7,2937279
"Azerbaijan";15847,4188327529;5,1522794
"Bahrain";43290,7045180745;6,2273207
"Bangladesh";3523,98385062592;4,3097711
"Belarus";17167,9672600246;5,5529151
"Belgium";42658,57617009;6,9283476
"Benin";2064,23633398033;4,8531809
"Bolivia";6885,82857742035;5,6505527
"Bosnia and Herzegovina";11713,8947839235;5,0899024
"Botswana";15807,3735945626;3,5048811
"Brazil";14103,4515313404;6,3329291
"Bulgaria";18563,3066168958;5,0969019
"Burkina Faso";1703,10162867752;4,6468911
"Cambodia";3645,06952060093;4,5858421
"Cameroon";3364,92605635113;5,0740514
"Central African Republic";661,239967689311;3,475862
"Chad";1768,15341090621;4,5589371
"Chile";22767,0371912423;6,3201194
"China";15308,712122905;5,0990615
"Colombia";13254,9492184779;6,157342
"Congo";4881,40574395234;4,8839912
"Costa Rica";15524,9945630542;7,2251816
"Cote d'Ivoire";3601,00590113374;5,037735
"Croatia";22669,796546633;5,3431659
"Cyprus";32415,1322300794;6,0620513
"Czech Republic";32605,9063265661;6,7895679
"Democratic Republic of Congo";808,133213366763;4,3110332
"Denmark";46682,5147204669;7,5937023
"Dominican Republic";14600,8605841474;5,6052027
"Ecuador";10581,9364286536;5,8395185
"Egypt";10550,2064956646;3,9293442
"El Salvador";7292,45780376927;6,3393183
"Estonia";29481,2518067978;5,938396
"Ethiopia";1729,9266389468;4,1803155
"Finland";40585,7210349228;7,7882519
"France";38605,6708967878;6,6352224
"Gabon";16562,4133558094;4,782383
"Georgia";9745,07890399104;4,4507747
"Germany";45229,2452947032;7,0743246
"Ghana";4227,62984443235;5,4813108
"Greece";24574,382476123;5,1482415
"Guatemala";7423,80759192956;6,3251185
"Guinea";1998,92571988235;4,8737226
"Haiti";1653,17250369424;3,8238657
"Honduras";4541,79525706075;6,0199857
"Hong Kong";56054,9198320303;5,3624749
"Hungary";26777,5607913953;6,0650387
"Iceland";46482,9582874747;7,4762139
"India";6426,67440634599;4,0461111
"Indonesia";11188,7440161175;5,0984015
"Iran";19082,619603326;4,716783
"Iraq";15663,9860708075;4,462399
"Ireland";67335,2934089652;7,0601554
"Israel";33132,3203044888;7,3310361
"Italy";35220,0837894122;6,1988702
"Jamaica";8193,57064989072;5,8897591
"Japan";39002,2233247384;5,9106765
"Jordan";8337,489701029;4,8080826
"Kazakhstan";24055,5883238545;5,8823514
"Kenya";2993,02844847527;4,4756541
"Kosovo";9795,83361233436;6,1492
"Kuwait";65530,5365781216;6,0939054
"Kyrgyzstan";3393,47361284144;5,6295366
"Laos";6397,35982538814;4,6231408
"Latvia";25063,8455453213;5,9778175
"Lebanon";13367,5650219298;5,1539898
"Liberia";752,787839463112;4,4244909
"Libya";17881,5093512674;5,6468525
"Lithuania";29524,2646006684;6,2729406
"Luxembourg";94277,9653571589;7,0613809
"Macedonia";13111,2135744255;5,2338667
"Madagascar";1416,43950728464;4,0786204
"Malawi";1095,04208875801;3,416863
"Mali";2014,30586969334;4,7418504
"Malta";36513,323442225;6,6756659
"Mauritania";3597,63253011137;4,6781597
"Mauritius";20292,7446336139;6,1741176
"Mexico";17336,469071694;6,4102993
"Moldova";5189,97166016505;5,3255305
"Mongolia";11840,8461179669;5,3338504
"Montenegro";16409,2876960117;5,6147985
"Morocco";7485,01295069865;5,3124828
"Mozambique";1136,10256446235;4,2798634
"Myanmar";5591,5968799618;4,1543417
"Namibia";9541,80829205217;4,4413061
"Nepal";2442,80394231834;4,7366924
"Netherlands";48472,5445411531;7,4589653
"New Zealand";36085,8427771972;7,3271828
"Nicaragua";5321,44351591724;6,4763565
"Niger";926,000141959658;4,6156735
"Nigeria";5338,45412665139;5,321928
"Norway";64800,0573263061;7,5787449
"Pakistan";5034,70775633353;5,8308706
"Palestine";4449,89832452996;4,6281328
"Panama";22267,0368216362;6,5676589
"Peru";12236,7061519677;5,7109365
"Philippines";7599,18806040387;5,5942702
"Poland";27216,4448774425;6,2012682
"Portugal";27936,8960928735;5,7114992
"Romania";23313,1993431851;6,0899048
"Saudi Arabia";49045,4112618159;6,2942824
"Senegal";2470,57958207519;4,6830249
"Serbia";14048,8806366748;5,1220312
"Sierra Leone";1390,30026748482;4,0895624
"Singapore";85535,3832002;6,378438
"Slovenia";31400,8395120955;6,1668377
"South Africa";12294,8761402351;4,5136552
"South Korea";35938,3742161469;5,8738871
"Spain";34272,3603838191;6,2301731
"Sri Lanka";11669,0766785045;4,3309455
"Sweden";46949,2830858792;7,2868047
"Switzerland";57410,1658575199;7,4735932
"Tajikistan";2896,91285075403;5,8292341
"Tanzania";2683,3040235534;3,3471212
"Thailand";16277,6711509397;5,9388952
"Togo";1429,81342674593;4,360805
"Trinidad and Tobago";28763,0707623686;6,1918597
"Tunisia";10849,2973861625;4,1243429
"Turkey";25129,3406487777;5,6072621
"Turkmenistan";16389,0233128331;5,2291489
"Uganda";1697,70651058028;4,0005169
"Ukraine";7894,39292578581;4,3110671
"United Arab Emirates";67293,4827590288;7,0394197
"United Kingdom";39753,2438934915;7,1032734
"United States";54225,4461231621;6,9917593
"Uruguay";20551,4094200387;6,33601
"Uzbekistan";6253,10386034453;6,4214478
"Vietnam";6171,8841923362;5,1752787
"Zambia";3689,25082617978;3,9327774
"Zimbabwe";1899,77497716634;3,6383002
